run_id	run_group	optimizer	transform	dataset	dgp	n_dims	sigma_sq	num_runs	learning_rate	n_outer_iter	bfgs_maxiter	gn_max_feval	newton_maxiter	shrinkage	tau_lr_multiplier	use_prefit	k_folds	cv_seed	folds_completed	run_outcome	out_corr	out_corr_std	in_corr	overfit_gap	out_rmse	elapsed_mean	ds_n_consumers	ds_n_products	ds_n_segments	ds_noise	ds_missing_rate	ds_gen_dims
baseline_0001	baseline	bfgs	none	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.5527	0.0538	0.7395	0.1869	0.1367	0.012	50	8	3	0.05	0.0	2
baseline_0002	baseline	bfgs	affine	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.5527	0.0538	0.7395	0.1869	0.1088	0.012	50	8	3	0.05	0.0	2
baseline_0003	baseline	bfgs	logistic	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.5371	0.0870	0.7691	0.2320	0.1105	0.012	50	8	3	0.05	0.0	2
baseline_0004	baseline	bfgs	per_consumer_bias	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.7141	0.0722	0.9141	0.2000	0.0915	0.012	50	8	3	0.05	0.0	2
baseline_0005	baseline	bfgs	per_consumer_affine	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.6840	0.0773	0.9223	0.2383	0.1008	0.012	50	8	3	0.05	0.0	2
baseline_0006	baseline	adam	none	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.6749	0.1373	0.9120	0.2370	0.0972	0.399	50	8	3	0.05	0.0	2
baseline_0007	baseline	adam	affine	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.6749	0.1373	0.9120	0.2370	0.0967	0.406	50	8	3	0.05	0.0	2
baseline_0008	baseline	adam	logistic	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.6686	0.1176	0.9137	0.2452	0.0982	0.398	50	8	3	0.05	0.0	2
baseline_0009	baseline	adam	per_consumer_bias	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.7256	0.1136	0.9313	0.2057	0.0910	0.399	50	8	3	0.05	0.0	2
baseline_0010	baseline	adam	per_consumer_affine	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.7354	0.0843	0.9553	0.2200	0.0889	0.407	50	8	3	0.05	0.0	2
baseline_0011	baseline	gauss_newton	none	medium_low_noise	probabilistic	2	0.3	1	0.06					0.005	0.5	False	5	42	5	success	0.5749	0.0572	0.7959	0.2210	0.1356	0.384	50	8	3	0.05	0.0	2
